RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,TypeGlass
0.17154811715481344,0.48571428571428577,0.8623024830699774,0.346,0.7328605200945617,0.11100000000000002,0.21716649431230595,0.0,0.26666666666666666,0.0
0.4581589958158929,0.7864661654135339,0.9604966139954854,0.05600000000000002,0.4137115839243499,0.018,0.3640124095139605,0.0,0.0,0.0
0.24790794979080033,0.547368421052632,0.90744920993228,0.23700000000000002,0.7234042553191493,0.09199999999999998,0.23578076525336078,0.0,0.0,0.0
0.3190376569037596,0.7172932330827066,0.9379232505643341,0.277,0.48817966903073184,0.01,0.2988624612202687,0.0,0.0,0.0
0.31380753138074624,0.6451127819548876,0.8419864559819413,0.2929999999999999,0.47872340425531945,0.09499999999999999,0.29989658738366076,0.0,0.0,0.0
0.0,0.511278195488722,0.8724604966139955,0.259,0.6690307328605218,0.09999999999999999,0.24612202688728013,0.0,0.34444444444444444,0.0
0.25104602510459983,0.7142857142857144,0.9051918735891649,0.33299999999999996,0.6158392434988169,0.077,0.19648397104446735,0.0,0.0,0.0
0.27928870292886643,0.48421052631578965,0.8747178329571107,0.31199999999999994,0.663120567375886,0.09699999999999999,0.2543950361944155,0.0,0.0,0.0
0.3232217573221732,0.8337384815422015,0.899548532731377,0.33599999999999997,0.47872340425531945,0.08999999999999998,0.2419855222337124,0.0,0.0,0.0
0.26046025104602677,0.44360902255639134,0.8893905191873589,0.32700000000000007,0.663120567375886,0.09199999999999998,0.28541882109617356,0.0,0.0,0.0
0.42991631799162633,0.5248120300751884,0.9176072234762979,0.18100000000000002,0.5082742316784881,0.030999999999999996,0.39089968976215095,0.0,0.18888888888888888,0.0
0.2583682008368271,0.5609022556390979,0.8521444695259593,0.32399999999999995,0.6229314420803789,0.09499999999999999,0.26990692864529453,0.0,0.0,0.0
0.25104602510459983,0.4706766917293237,0.8893905191873589,0.2929999999999999,0.7234042553191493,0.093,0.2502585315408479,0.0,0.0,0.0
0.26255230125524065,0.4526315789473685,0.8623024830699774,0.28,0.663120567375886,0.09999999999999999,0.28541882109617356,0.0,0.3333333333333333,0.0
0.507322175732213,0.6766917293233083,0.935665914221219,0.069,0.4089834515366437,0.014,0.4596786904656641,0.0,0.17777777777777778,0.0
0.49790794979080033,0.5834586466165415,0.899548532731377,0.165,0.4598108747044911,0.019,0.4219234746639089,0.0,0.03333333333333333,0.0
0.24581589958160066,0.47218045112781937,0.8927765237020316,0.374,0.6205673758865249,0.08700000000000001,0.2626680455015511,0.0,0.2111111111111111,0.0
0.6663179916317858,0.736842105263158,0.9300225733634312,0.13100000000000003,0.37115839243498705,0.003,0.38779731127197514,0.0,0.1111111111111111,0.0
0.3263598326359869,0.5578947368421057,0.8374717832957111,0.30799999999999994,0.5378250591016549,0.09699999999999999,0.32264736297828334,0.0,0.12222222222222222,0.0
0.25104602510459983,0.42556390977443614,0.9029345372460497,0.31799999999999995,0.7340425531914896,0.093,0.26059979317476734,0.0,0.0,0.0
0.42991631799162633,0.5398496240601505,0.899548532731377,0.19000000000000003,0.5047281323877062,0.03699999999999999,0.38779731127197514,0.0,0.17777777777777778,0.0
