RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,TypeGlass
0.2079999999999984,0.32299999999999995,0.8623024830699774,0.33536585365853655,0.6199999999999992,0.11100000000000002,0.24299999999999988,0.0,0.24,0.0
0.4819999999999993,0.5230000000000001,0.9604966139954854,0.04065040650406504,0.34999999999999964,0.018,0.3849999999999999,0.0,0.0,0.0
0.2810000000000059,0.3640000000000001,0.90744920993228,0.2245934959349593,0.6120000000000001,0.09199999999999998,0.261,0.0,0.0,0.0
0.34899999999998954,0.47699999999999987,0.9379232505643341,0.26524390243902435,0.41300000000000026,0.01,0.32199999999999995,0.0,0.0,0.0
0.3439999999999941,0.4289999999999998,0.8419864559819413,0.28150406504065034,0.40500000000000114,0.09499999999999999,0.32300000000000006,0.0,0.0,0.0
0.04399999999999693,0.33999999999999986,0.8724604966139955,0.24695121951219506,0.5660000000000007,0.09999999999999999,0.2709999999999999,0.0,0.30999999999999994,0.0
0.29399999999999693,0.2929999999999999,0.9221218961625283,0.2591463414634146,0.5890000000000004,0.098,0.3039999999999998,0.0,0.0,0.0
0.26599999999999113,0.3979999999999997,0.8803611738148985,0.2560975609756097,0.543000000000001,0.081,0.2789999999999998,0.0,0.0,0.0
0.277000000000001,0.31699999999999995,0.8803611738148985,0.2530487804878048,0.6179999999999986,0.08999999999999998,0.2899999999999999,0.0,0.0,0.0
0.48099999999999454,0.45100000000000007,0.9650112866817157,0.11991869918699186,0.347999999999999,0.027,0.401,0.0,0.0,0.0
0.31099999999999284,0.32199999999999984,0.8747178329571107,0.30081300813008127,0.5609999999999999,0.09699999999999999,0.2789999999999998,0.0,0.0,0.0
0.35299999999999443,0.5544360902255638,0.899548532731377,0.32520325203252026,0.40500000000000114,0.08999999999999998,0.267,0.0,0.0,0.0
0.2839999999999918,0.31099999999999994,0.9198645598194131,0.29369918699186986,0.5709999999999997,0.09699999999999999,0.29100000000000004,0.0,0.0,0.0
0.2980000000000018,0.30999999999999983,0.8803611738148985,0.24695121951219506,0.5750000000000011,0.103,0.30999999999999983,0.0,0.0,0.0
0.31699999999999307,0.3619999999999999,0.7144469525959368,0.2967479674796747,0.543000000000001,0.089,0.3380000000000001,0.0,0.0,0.0
0.27199999999999136,0.34399999999999986,0.8893905191873589,0.4268292682926829,0.520999999999999,0.08700000000000001,0.2799999999999999,0.0,0.07,0.0
0.27599999999999625,0.3860000000000001,0.9051918735891649,0.2530487804878048,0.5860000000000003,0.093,0.255,0.0,0.0,0.0
0.2950000000000017,0.30099999999999993,0.8623024830699774,0.2682926829268293,0.5609999999999999,0.09999999999999999,0.30899999999999994,0.0,0.3,0.0
0.519999999999996,0.3879999999999999,0.899548532731377,0.15142276422764228,0.38899999999999935,0.019,0.44099999999999995,0.0,0.03,0.0
0.27899999999999636,0.31399999999999983,0.8927765237020316,0.36382113821138207,0.5250000000000004,0.08700000000000001,0.2869999999999999,0.0,0.19,0.0
0.4819999999999993,0.5230000000000001,0.9604966139954854,0.04065040650406504,0.34999999999999964,0.018,0.3849999999999999,0.0,0.0,0.0
0.35599999999999454,0.371,0.8374717832957111,0.2967479674796747,0.45500000000000007,0.09699999999999999,0.345,0.0,0.10999999999999999,0.0
0.2839999999999918,0.2829999999999999,0.9029345372460497,0.306910569105691,0.6210000000000004,0.093,0.28500000000000003,0.0,0.0,0.0
0.4549999999999983,0.359,0.899548532731377,0.17682926829268292,0.4269999999999996,0.03699999999999999,0.40800000000000003,0.0,0.16,0.0
0.28700000000000614,0.2589999999999999,0.6817155756207675,0.30081300813008127,0.6950000000000003,0.08999999999999998,0.33699999999999997,0.0,0.24,0.0
0.2330000000000041,0.403,0.8927765237020316,0.2876016260162601,0.5359999999999996,0.11,0.248,0.0,0.0,1.0
0.2259999999999991,0.29800000000000004,0.8374717832957111,0.36382113821138207,0.6199999999999992,0.108,0.261,0.0,0.0,1.0
0.22499999999999432,0.34099999999999997,0.899548532731377,0.3790650406504064,0.5389999999999997,0.098,0.24299999999999988,0.0,0.0,1.0
0.22100000000000364,0.34299999999999975,0.8803611738148985,0.3607723577235772,0.5500000000000007,0.09699999999999999,0.2499999999999999,0.0,0.0,1.0
0.2599999999999909,0.4500000000000002,0.9255079006772009,0.46544715447154467,0.40199999999999925,0.103,0.22799999999999998,0.0,0.0,1.0
0.24199999999999022,0.33199999999999985,0.90744920993228,0.290650406504065,0.5250000000000004,0.08999999999999998,0.29500000000000004,0.0,0.0,1.0
0.6580000000000013,0.44700000000000006,0.0,0.3221544715447154,0.254999999999999,0.030999999999999996,0.7439999999999998,0.0,0.09999999999999999,1.0
0.27599999999999625,0.22099999999999986,0.8171557562076749,0.2591463414634146,0.6679999999999993,0.09999999999999999,0.32199999999999995,0.0,0.24,1.0
0.5969999999999942,0.10799999999999987,0.0,0.4867886178861787,0.42499999999999893,0.13,0.726,0.0,0.33999999999999997,1.0
0.31799999999999784,0.31899999999999995,0.9221218961625283,0.2845528455284552,0.4930000000000003,0.09999999999999999,0.30199999999999994,0.0,0.35,1.0
0.20999999999999375,0.355,0.9029345372460497,0.37296747967479665,0.5869999999999997,0.108,0.22299999999999998,0.0,0.0,1.0
0.20900000000000318,0.31999999999999984,0.8848758465011286,0.5630081300813008,0.5089999999999986,0.11100000000000002,0.2360000000000001,0.0,0.0,1.0
0.5679999999999978,0.4660000000000002,0.7291196388261852,0.26219512195121947,0.238999999999999,0.013,0.498,0.0,0.0,1.0
0.23599999999999,0.42600000000000016,0.8972911963882618,0.3577235772357723,0.4709999999999983,0.103,0.235,0.0,0.0,1.0
