Compactness,Circularity,Distance_circularity,Radius_ratio,Praxis_aspect_ratio,Max_length_aspect_ratio,Scatter_ratio,Elongatedness,Praxis_rectangular,Length_rectangular,Major_variance,Minor_variance,Gyration_radius,Major_skewness,Minor_skewness,Minor_kurtosis,Major_kurtosis,Hollows_ratio,Class
0.34999999999999987,0.3076923076923077,0.6111111111111109,0.16589861751152069,0.11627906976744184,0.1320754716981132,0.2466666666666667,0.5428571428571427,0.18181818181818188,0.3478260869565215,0.25316455696202533,0.17936117936117935,0.3026315789473685,0.22033898305084754,0.4090909090909091,0.3684210526315789,0.4137931034482758,0.5862068965517242,3.0
0.40000000000000013,0.3076923076923077,0.5833333333333333,0.24884792626728114,0.18604651162790697,0.1320754716981132,0.21333333333333337,0.5714285714285714,0.18181818181818188,0.3478260869565215,0.1898734177215191,0.15356265356265358,0.09868421052631582,0.06779661016949157,0.2727272727272727,0.2631578947368421,0.7586206896551726,0.862068965517242,3.0
0.7500000000000002,0.9230769230769231,0.9166666666666665,0.3087557603686636,0.03488372093023262,0.07547169811320756,0.9533333333333335,0.0,1.0,0.7246376811594204,0.9493670886075949,0.9496314496314496,0.9999999999999999,0.44067796610169485,0.2272727272727273,0.23684210526315788,0.1379310344827589,0.0344827586206895,0.0
0.5000000000000002,0.3846153846153846,0.45833333333333326,0.31336405529953915,0.2093023255813954,0.07547169811320756,0.2733333333333333,0.4571428571428571,0.18181818181818188,0.3478260869565215,0.2911392405063291,0.21744471744471744,0.39473684210526316,0.11864406779661008,0.5909090909090909,0.02631578947368421,0.7931034482758621,0.7586206896551726,0.0
0.22499999999999987,0.038461538461538325,0.30555555555555547,0.16129032258064513,0.16279069767441867,0.09433962264150944,0.06666666666666665,0.7999999999999998,0.0,0.1159420289855071,0.069620253164557,0.04791154791154795,0.0,0.0847457627118644,0.09090909090909091,0.3684210526315789,0.7931034482758621,0.8965517241379315,3.0
0.40000000000000013,0.42307692307692313,0.8055555555555554,0.42396313364055294,0.17441860465116277,0.16981132075471697,0.4733333333333333,0.2857142857142856,0.4545454545454546,0.3913043478260869,0.45569620253164556,0.3943488943488943,0.26315789473684215,0.0847457627118644,0.18181818181818182,0.3684210526315789,0.6206896551724146,0.7586206896551726,2.0
0.30000000000000004,0.1153846153846152,0.15277777777777768,0.018433179723502335,0.05813953488372092,0.07547169811320756,0.040000000000000036,0.8857142857142857,0.0,0.14492753623188404,0.044303797468354444,0.02702702702702703,0.08552631578947367,0.35593220338983045,0.09090909090909091,0.3684210526315789,0.1379310344827589,0.1034482758620694,3.0
0.17500000000000004,0.5384615384615383,0.48611111111111094,0.22119815668202758,0.19767441860465118,0.07547169811320756,0.28000000000000014,0.48571428571428554,0.18181818181818188,0.37681159420289845,0.28481012658227844,0.20884520884520885,0.4736842105263158,0.27118644067796605,0.0,0.07894736842105263,0.2758620689655178,0.3448275862068968,0.0
0.42500000000000004,0.3846153846153846,0.33333333333333326,0.31336405529953915,0.2558139534883721,0.09433962264150944,0.2533333333333333,0.48571428571428554,0.18181818181818188,0.33333333333333304,0.24683544303797467,0.19656019656019658,0.4276315789473685,0.15254237288135597,0.4090909090909091,0.02631578947368421,0.7586206896551726,0.8275862068965516,0.0
0.2500000000000002,0.23076923076923062,0.41666666666666663,0.1981566820276498,0.16279069767441867,0.09433962264150944,0.20666666666666667,0.5714285714285714,0.09090909090909105,0.24637681159420288,0.21518987341772156,0.1511056511056511,0.1907894736842105,0.1694915254237288,0.045454545454545456,0.05263157894736842,0.5172413793103452,0.5862068965517242,0.0
