height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
0.025806451612903226,0.06145251396648045,0.0020557982539605372,0.013974964774463625,0.2543859649122807,0.8642857142857141,0.003953844912450577,0.006370318515925797,0.01143599740090968,0.019308626596075993,0.0
0.025806451612903226,0.020484171322160148,0.0006806359084058535,0.004885103408790957,0.40131578947368407,1.0,0.005002824174937463,0.0029401470073503674,0.004375135369287416,0.008720024914356899,0.0
0.035483870967741936,0.020484171322160148,0.0009306654257794323,0.0036470977503987273,0.23903508771929818,0.9750000000000001,0.005002824174937463,0.0025901295064753235,0.005804635044401126,0.007785736530675802,0.0
0.006451612903225807,0.21415270018621974,0.002347499357563046,0.14368301106769626,0.29385964912280704,0.2511904761904762,0.4916485112563544,0.008190409520476023,0.005284816980723413,0.0003114294612270321,1.0
0.029032258064516127,0.24208566108007448,0.009028843682934792,0.04863168774002625,0.35855263157894735,0.8297619047619047,0.01347534898733156,0.03752187609380469,0.04834307992202729,0.06135160386172533,0.0
0.02258064516129032,0.03538175046554935,0.001041789655723245,0.009223699815228584,0.45175438596491224,1.0,0.01363673041232954,0.005110255512775639,0.006627680311890838,0.008720024914356899,0.0
0.029032258064516127,0.17690875232774675,0.006598001152913886,0.03561961625542325,0.36184210526315785,0.8642857142857141,0.011458081174856775,0.02758137906895345,0.036560537145332465,0.049828713796325134,0.0
0.029032258064516127,0.23277467411545624,0.008681580464360376,0.046772820385082965,0.4111842105263157,0.819047619047619,0.0168643589122892,0.04039201960098005,0.04596058046350444,0.05730302086577391,0.0
0.025806451612903226,0.08193668528864059,0.002743379426737879,0.018518036589945015,0.38815789473684204,0.9476190476190476,0.018074719599774067,0.012040602030101506,0.01646090534979424,0.016505761445032702,0.0
0.029032258064516127,0.2271880819366853,0.008473222533215728,0.045657499972116995,0.30043859649122806,0.8666666666666667,0.015492616799806345,0.030661533076653834,0.047000216590859865,0.04609156026160075,0.0
0.0,0.2811918063314711,0.0009862275407513386,0.5650250389432712,0.8048245614035088,1.0,0.08303074316146211,0.008260413020651032,0.006281134936105696,0.003114294612270321,1.0
0.016129032258064516,0.03910614525139665,0.0008473222533215727,0.013562296221666215,0.11951754385964908,1.0,0.014685709674816428,0.0013300665033251662,0.005414771496642841,0.002491435689816257,0.0
0.0,0.09497206703910614,0.00029170110360250863,0.19325156795461393,0.9791666666666666,1.0,0.4028887275074639,0.003080154007700385,0.001949317738791423,0.0,1.0
